Disease,Medication
Fungal infection,"['Fluconazole', 'Itraconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole', 'Amphotericin B', 'Nystatin', 'Griseofulvin', 'Topical antifungals', 'Oral antifungals']"
Allergy,"['Antihistamines', 'Cetirizine', 'Loratadine', 'Fexofenadine', 'Diphenhydramine', 'Corticosteroids', 'Epinephrine (severe cases)', 'Decongestants', 'Montelukast', 'Allergy shots']"
GERD,"['Omeprazole', 'Pantoprazole', 'Esomeprazole', 'Lansoprazole', 'Ranitidine', 'Famotidine', 'Antacids', 'Alginate therapy', 'Prokinetics', 'Lifestyle medications']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Rifampicin', 'Antihistamines (itching)', 'Vitamin K', 'Vitamin A', 'Vitamin D', 'Vitamin E', 'Bile acid modifiers']"
Drug Reaction,"['Antihistamines', 'Corticosteroids', 'Epinephrine (anaphylaxis)', 'Immunosuppressants', 'IV fluids', 'Activated charcoal (if recent ingestion)', 'Topical steroids', 'Pain relievers']"
Peptic ulcer disease,
AIDS,"['Antiretroviral therapy (ART)', 'Tenofovir', 'Lamivudine', 'Efavirenz', 'Dolutegravir', 'Zidovudine', 'Nevirapine', 'Protease inhibitors', 'Integrase inhibitors', 'Immune boosters']"
Diabetes,
Gastroenteritis,"['ORS', 'IV fluids', 'Antiemetics', 'Ondansetron', 'Probiotics', 'Antibiotics (bacterial cases only)', 'Zinc supplements', 'Antispasmodics']"
Bronchial Asthma,"['Short-acting bronchodilators', 'Salbutamol', 'Long-acting bronchodilators', 'Inhaled corticosteroids', 'Montelukast', 'Oral steroids', 'Ipratropium', 'Theophylline']"
Hypertension,
Migraine,"['Triptans', 'NSAIDs', 'Ergotamines', 'Anti-nausea drugs', 'Beta-blockers', 'Calcium channel blockers', 'Anticonvulsants', 'CGRP inhibitors']"
Cervical spondylosis,"['NSAIDs', 'Muscle relaxants', 'Physiotherapy meds', 'Pain relievers', 'Gabapentin', 'Pregabalin', 'Steroid injections', 'Vitamin B12 supplements']"
Paralysis (brain hemorrhage),"['Anticoagulant reversal agents', 'Blood pressure meds', 'Mannitol', 'Anticonvulsants', 'Neuroprotective drugs', 'Pain relievers', 'Statins', 'Rehabilitation medicines']"
Jaundice,"['ORS', 'Antivirals (viral cause)', 'Vitamin supplements', 'Liver-protective meds', 'UDCA', 'Antiemetics', 'IV fluids', 'Antibiotics (bacterial cause)']"
Malaria,"['Chloroquine', 'Artemisinin-based combo therapy', 'Quinine', 'Primaquine', 'Mefloquine', 'Artemether', 'Lumefantrine', 'Doxycycline', 'Clindamycin']"
Chicken pox,"['Antihistamines', 'Paracetamol', 'Calamine lotion', 'Acyclovir', 'Pain relievers', 'Antipyretics', 'Skin soothing medications']"
Dengue,"['ORS', 'IV fluids', 'Paracetamol', 'Avoid NSAIDs', 'Platelet management meds', 'Electrolytes', 'Pain relievers', 'Anti-nausea meds']"
Typhoid,"['Ceftriaxone', 'Azithromycin', 'Ciprofloxacin', 'Ofloxacin', 'Amoxicillin', 'Cefixime', 'IV fluids', 'ORS', 'Antipyretics']"
hepatitis A,"['Rest therapy', 'Hydration', 'Vitamin supplements', 'Anti-nausea meds', 'Liver-protective drugs', 'ORS']"
Hepatitis B,"['Interferon alfa', 'Tenofovir', 'Entecavir', 'Lamivudine', 'Adefovir', 'Immune boosters', 'Liver-protective meds']"
Hepatitis C,"['Sofosbuvir', 'Ledipasvir', 'Daclatasvir', 'Velpatasvir', 'Ribavirin', 'Direct-acting antivirals']"
Hepatitis D,"['Interferon alfa', 'Antivirals (HBV coverage)', 'Liver-support meds', 'Immunomodulators']"
Hepatitis E,"['Rest', 'Hydration', 'Vitamin supplements', 'Antiemetics', 'Liver-protection meds']"
Alcoholic hepatitis,"['Steroids', 'Pentoxifylline', 'Vitamin B complex', 'Thiamine', 'Liver-protective drugs', 'Antioxidants', 'IV fluids', 'Electrolyte correction']"
Tuberculosis,"['Isoniazid', 'Rifampicin', 'Ethambutol', 'Pyrazinamide', 'Streptomycin', 'Levofloxacin', 'Moxifloxacin', 'Second-line TB meds']"
Common Cold,"['Antihistamines', 'Decongestants', 'Cough syrups', 'Vitamin C', 'Steam inhalation meds', 'Pain relievers', 'Antipyretics']"
Pneumonia,"['Azithromycin', 'Amoxicillin', 'Ceftriaxone', 'Doxycycline', 'Macrolides', 'Fluoroquinolones', 'Expectorants', 'Bronchodilators']"
Dimorphic hemmorhoids(piles),"['Pain relievers', 'Stool softeners', 'Topical steroids', 'Hydrocortisone cream', 'Laxatives', 'Flavonoids', 'Warm sitz bath meds']"
Heart attack,"['Aspirin', 'Clopidogrel', 'Heparin', 'Nitroglycerin', 'Beta-blockers', 'Statins', 'ACE inhibitors', 'Morphine', 'Thrombolytics']"
Varicose veins,"['Venoactive drugs', 'Diosmin', 'Horse chestnut extract', 'Compression therapy meds', 'Pain relievers', 'Topical anti-inflammatory gels']"
Hypothyroidism,"['Levothyroxine', 'Liothyronine', 'Combination T3/T4 therapy', 'Iodine supplements', 'Vitamin D', 'Vitamin B12']"
Hyperthyroidism,"['Methimazole', 'Propylthiouracil', 'Beta-blockers', 'Radioactive iodine', 'Iodine drops', 'Steroids']"
Hypoglycemia,"['Glucose tablets', 'Dextrose', 'Glucagon injection', 'Carbohydrate therapy', 'Oral sugars', 'Electrolyte drinks']"
Osteoarthristis,"['NSAIDs', 'Pain relievers', 'Duloxetine', 'Hyaluronic acid injections', 'Steroid injections', 'Muscle relaxants', 'Topical NSAIDs']"
Arthritis,"['NSAIDs', 'DMARDs', 'Methotrexate', 'Sulfasalazine', 'Corticosteroids', 'Biologic drugs', 'Pain relievers']"
(vertigo) Paroymsal Positional Vertigo,
Acne,"['Benzoyl peroxide', 'Topical retinoids', 'Clindamycin', 'Doxycycline', 'Azelaic acid', 'Salicylic acid', 'Isotretinoin']"
Urinary tract infection,"['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim', 'Fosfomycin', 'Levofloxacin', 'Ceftriaxone', 'Pain relievers']"
Psoriasis,"['Topical steroids', 'Vitamin D analogs', 'Coal tar', 'Phototherapy', 'Methotrexate', 'Biologics', 'Retinoids']"
Impetigo,"['Mupirocin', 'Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Fusidic acid', 'Cephalexin']"
